상호명,분류,위도,경도
영풍문고,대형마트,37.56683009173382,126.98134414070798
롯데쇼핑(주)롯데마트 제타플렉스 서울역점,대형마트,37.55545096128627,126.96879804498309
주식회사 이마트 청계천점,대형마트,37.56822824750721,127.02064531713549
신세계백화점,백화점,37.55817279540518,126.98035135270975
롯데백화점 본점,백화점,37.562060005062754,126.98030217463776
아이파크(I PARK)백화점,백화점,37.526807444857624,126.96336935711312
(주)이마트 왕십리점,대형마트,37.560934323155,127.0372611192284
롯데쇼핑(주)롯데마트 강변점,대형마트,37.532948962979255,127.0949738733192
(주)이마트 자양점,대형마트,37.53505255598442,127.0718418255339
롯데백화점 건대스타시티점,백화점,37.53603806050592,127.07034655131766
GS THE FRESH 광진능동점,대형마트,37.552167136664806,127.08044770037426
GS THE FRESH 구의역점,대형마트,37.53530170131152,127.08458271320225
GS THE FRESH 광진중곡점,대형마트,37.55368110583168,127.08158742281978
롯데쇼핑(주)롯데마트 청량리점,대형마트,37.57822724869663,127.04620330703987
노브랜드 동대문 장안점,대형마트,37.563523432892545,127.0613915075144
이마트에브리데이 중화리버센SK점,대형마트,37.60022405685682,127.07487729396081
코스트코홀세일 상봉점,대형마트,37.59411366548143,127.08942216264755
홈플러스 신내점,대형마트,37.61304459806445,127.09297318991146
홈플러스(주)면목점,대형마트,37.57717772702668,127.08027303417795
주식회사 이마트 묵동점,대형마트,37.61109593755773,127.07676297512431
홈플러스(주) 서울 상봉점,대형마트,37.595350992527685,127.08972354846158
현대백화점 미아점,백화점,37.60562473308188,127.02793635848468
신세계이마트미아점,대형마트,37.608106668545,127.02893957437576
이마트 미아점,대형마트,37.608106668545,127.02893957437576
이마트 미아점,대형마트,37.608106668545,127.02893957437576
홈플러스 월곡점,대형마트,37.59907115220927,127.03965648433535
이마트 하월곡점,대형마트,37.60230266516558,127.03020756344553
이마트 미아점,대형마트,37.608106668545,127.02893957437576
이마트 하월곡점,대형마트,37.60230266516558,127.03020756344553
(주)농협유통 미아점,대형마트,37.61881780395498,127.02567191564096
홈플러스(주)방학점,대형마트,37.66209260503835,127.04295414285735
홈플러스(주) 중계점,대형마트,37.63716893531137,127.06781916888345
롯데마트 중계점,대형마트,37.644545887270425,127.06948560732003
건영옴니백화점,백화점,37.63607706372082,127.06396543430336
(주)이마트 은평점,대형마트,37.59760845718372,126.9194072639773
(주)이마트 수색점,대형마트,37.576844154450505,126.8978641091387
현대백화점 신촌점,백화점,37.55340768678495,126.93509761619221
(주)이마트 마포점,대형마트,37.539694240870055,126.95257794655997
(주)이마트 마포점,대형마트,37.539694240870055,126.95257794655997
홈플러스 합정점,대형마트,37.54818527682721,126.91299672765199
현대백화점목동점,백화점,37.52410488433174,126.87425002359366
행복한백화점,백화점,37.52662399350769,126.87529898201923
(주)이마트 목동점,대형마트,37.52310430540655,126.87048718835612
(주)이마트 신월점,백화점,37.53700746327384,126.82798497598826
홈플러스(주) 강서점,대형마트,37.55565923687818,126.85423175553738
(주) 이랜드리테일 강서점,백화점,37.5572138916288,126.83956656303565
홈플러스(주) 신도림점,대형마트,37.50667115646635,126.88695838346156
(주) 이마트 신도림점,대형마트,37.504224155393956,126.88953378411189
(주)이마트 구로점,대형마트,37.48159890602805,126.89713606383792
홈플러스 주식회사,대형마트,37.449150084821795,126.90001097415579
홈플러스(주) 금천점,대형마트,37.465934576595906,126.896112263373
삼성테스코(주)홈플러스 금천점,대형마트,37.465934576595906,126.896112263373
삼성테스코(주)홈플러스 금천점,대형마트,37.465934576595906,126.896112263373
홈플러스 시흥점,대형마트,37.449150084821795,126.90001097415579
롯데백화점 영등포점,백화점,37.513173456236245,126.90658678993677
홈플러스(주) 영등포점,대형마트,37.51547733117745,126.89513870776538
코스트코 홀세일,대형마트,37.52512330121057,126.89149384512139
신세계 이마트 여의도점,대형마트,37.5154224689501,126.9252674120644
(주)신세계 타임스퀘어점,백화점,37.51441989778146,126.90477720258959
(주)이마트 여의도점,대형마트,37.5154224689501,126.9252674120644
롯데쇼핑(주) 롯데마트 양평점,대형마트,37.52329926113133,126.89086086839907
THE HYUNDAI SEOUL,백화점,37.52330030462276,126.92750964934234
홈플러스 서울남현점,대형마트,37.468728075240115,126.98162464062592
코스트코코리아,대형마트,37.459275631176446,127.03530856462454
(주)이랜드리테일 강남점,대형마트,37.50664721340834,127.00652142296512
(주)이마트 양재점,대형마트,37.46064429546007,127.03622345615615
신세계백화점 강남점,대형마트,37.501613640894995,127.00283236563925
뉴코아백화점,백화점,37.50633886190109,127.00416188027742
(주)이마트 역삼점,대형마트,37.496466596862234,127.04764968478078
하우스오브신세계 청담,백화점,37.52064328810587,127.04286811147384
GS THE FRESH 청담점,대형마트,37.52398156102478,127.05095603425131
갤러리아백화점(동관),백화점,37.5253300922778,127.04077989202838
(주)현대백화점 본점,백화점,37.524583880401345,127.02668100113998
현대백화점 무역센터점,백화점,37.5058445307933,127.05892834096326
갤러리아백화점(서관),백화점,37.52581135418423,127.03926521203415
롯데백화점(강남점),백화점,37.494307332417435,127.05280367916221
롯데백화점 에비뉴엘 월드타워점,백화점,37.51035017525916,127.10264186436424
롯데쇼핑(주) 롯데마트 월드타워점,대형마트,37.51035017525916,127.10264186436424
롯데쇼핑(주)롯데마트 제타플렉스 잠실점,대형마트,37.50853564692212,127.09714783160442
롯데백화점 잠실점,백화점,37.50853564692212,127.09714783160442
롯데쇼핑(주)롯데마트 송파점,대형마트,37.48898731768692,127.11695930765686
홈플러스(주)잠실점,대형마트,37.51350545505795,127.10224178557574
현대백화점 천호점,백화점,37.53627526600129,127.12366587258238
신세계 이마트 명일점,대형마트,37.551921859569745,127.15505008173547
(주)이마트천호점,대형마트,37.53589374447555,127.12475148236553
홈플러스 강동점,대형마트,37.54296687081529,127.14145856789139
롯데백화점 광복점,백화점,35.095215857257465,129.03523581446572
롯데마트 광복점,대형마트,35.095215857257465,129.03523581446572
롯데쇼핑(주) 롯데키즈마트 부산점,대형마트,35.16049994598132,129.04844321566833
롯데백화점부산점,백화점,35.153863913655286,129.0551350284444
트레이더스 홀세일 클럽 서면점,대형마트,35.16111132776781,129.05178013335066
(주)농협유통 하나로마트 부전점,대형마트,35.160027880156676,129.06148594271514
(주)메가마트 동래점,대형마트,35.20145139699496,129.0803093913952
롯데백화점 동래점,백화점,35.209024414307464,129.07657941823138
홈플러스(주) 동래점,대형마트,35.21851607079138,129.08471046132962
롯데쇼핑(주) 롯데마트 동래점,대형마트,35.209024414307464,129.07657941823138
(주) 이마트 문현점,대형마트,35.14154199853406,129.0633942703322
롯데쇼핑(주)롯데마트화명점,대형마트,35.232391711485995,129.01212446248715
예스홈마트,대형마트,35.20872652118792,129.00635815606424
삼한상가시장,대형마트,35.22737607992582,129.16208562896796
이랜드 리테일 해운대점,백화점,35.16775044169067,129.17617636422256
롯데쇼핑주식회사,백화점,35.167060920212634,129.13022555767162
홈플러스 센텀시티점,대형마트,35.1681459015475,129.132793083509
롯데백화점 센텀시티점,백화점,35.167060920212634,129.13022555767162
(주)신세계 센텀시티점,백화점,35.16614359179757,129.12876143264901
(주)이마트 해운대점,대형마트,35.16323862418402,129.1664958105752
롯데슈퍼 좌1동점,대형마트,35.17473388981975,129.1746687994613
롯데슈퍼 해운대점,대형마트,35.16724116611848,129.1751851731401
해동시장,대형마트,35.15934846077218,129.1771036606833
재송삼익상가시장,대형마트,35.18832886285622,129.12043148143175
마리나상가시장,대형마트,35.1590773710722,129.14056885175194
대성종합상가시장,대형마트,35.15504723322072,129.14671874874915
대동상가시장,대형마트,35.17398532089104,129.17195232433008
L.G 상가시장,대형마트,35.17777970601237,129.1726842983537
운봉장터시장,대형마트,35.22841369547278,129.1541282015128
우동종합상가시장,대형마트,35.167586623947955,129.138062791149
홈플러스(주) 부산반여점,대형마트,35.19374707223426,129.11479535233224
롯데슈퍼 좌동점,대형마트,35.16973846891945,129.16648015046945
롯데백화점 센텀시티점,백화점,35.167060920212634,129.13022555767162
서원유통탑마트신평점,대형마트,35.09438652152587,128.96103329219207
홈플러스(주) 익스프레스 다대포점,대형마트,35.04759461609418,128.96495456373762
롯데쇼핑(주) 롯데마트 사하점,대형마트,35.08204605286497,128.97053625306938
(주)이마트 금정점,대형마트,35.247416703511114,129.0897548861594
(주)이마트 연제점,대형마트,35.17335025381415,129.0804425123239
트레이더스 홀세일 클럽 연산점,대형마트,35.18235493784284,129.11114170916127
